t_hover,E_req_J,exceeds_avail
3.723583352589195528e+01,5.318860390026579844e+05,0.000000000000000000e+00
4.847270232026976799e+01,5.786913663281948538e+05,0.000000000000000000e+00
6.247675717128412742e+01,6.370229516817990225e+05,1.000000000000000000e+00
3.950610450231375381e+01,5.413424790584726725e+05,0.000000000000000000e+00
4.256940788457776392e+01,5.541021650642422028e+05,0.000000000000000000e+00
3.759581898394531407e+01,5.333854991730081383e+05,0.000000000000000000e+00
4.358569020432304342e+01,5.583353217826541513e+05,0.000000000000000000e+00
4.094141680477536482e+01,5.473210361957330024e+05,0.000000000000000000e+00
8.550316202696848222e+01,7.329356508618303342e+05,1.000000000000000000e+00
7.613447767604486671e+01,6.939119383242225740e+05,1.000000000000000000e+00
6.718266954724714424e+01,6.566246550702420063e+05,1.000000000000000000e+00
5.411502330284999829e+01,6.021935256305751391e+05,0.000000000000000000e+00
8.968073535244523953e+01,7.503366449023768073e+05,1.000000000000000000e+00
8.310969323057479130e+01,7.229660505658192560e+05,1.000000000000000000e+00
4.195661762103740244e+01,5.515496880894056521e+05,0.000000000000000000e+00
5.434486221568963060e+01,6.031508817895245738e+05,0.000000000000000000e+00
4.152606470256056070e+01,5.497562907783722039e+05,0.000000000000000000e+00
5.371695879694457432e+01,6.005354534543739865e+05,0.000000000000000000e+00
4.349101797043589812e+01,5.579409801758584799e+05,0.000000000000000000e+00
4.377509824726614340e+01,5.591242698081465205e+05,0.000000000000000000e+00
3.780944153965995014e+01,5.342753087656362914e+05,0.000000000000000000e+00
6.554202096280459955e+01,6.497908034496345790e+05,1.000000000000000000e+00
4.777694584470117434e+01,5.757933072537538828e+05,0.000000000000000000e+00
3.603727126728195174e+01,5.268936252029752359e+05,0.000000000000000000e+00
5.942102492373773259e+01,6.242948019914540928e+05,1.000000000000000000e+00
6.252499650901788897e+01,6.372238847027244046e+05,1.000000000000000000e+00
8.507136985652347505e+01,7.311370916507097427e+05,1.000000000000000000e+00
1.173097452787398538e+02,8.654207378952356521e+05,1.000000000000000000e+00
4.677416183656594484e+01,5.716163755304728402e+05,0.000000000000000000e+00
8.412601923916852797e+01,7.271993892629381735e+05,1.000000000000000000e+00
4.783904834033815945e+01,5.760519849769889843e+05,0.000000000000000000e+00
4.649581638375732950e+01,5.704569733636698220e+05,0.000000000000000000e+00
8.543202503232052436e+01,7.326393414200827247e+05,1.000000000000000000e+00
4.841541314317186107e+01,5.784527376910410821e+05,0.000000000000000000e+00
